ID,C,r,n0,RMSE
ID-101,6.839484905346223,0.21149458495124593,32.54280165322819,57.13405641988195
ID-102,3.760957533387691,0.13847987022864566,88.2350996057536,118.19352704935218
ID-103,16.369247774888112,0.32740746705020707,6.629304607160581,41.86175246052964
ID-104,6.4026981599592165,0.19527964460223673,36.496390292904536,48.83473904276403
ID-105,115.90667590027462,0.5226390312273343,0.14633606464835341,98.53114673032586
ID-106,7.628627838283063,0.19228373113904626,26.86250566118001,56.669074323862034
ID-107,19.919451145455852,0.4178892789756122,4.570139152607122,89.8190770050303
ID-108,22.726258936184692,0.494166465262941,3.5528057590161763,81.301474342203
ID-201,8.343775050709166,0.17173714877160165,22.90789833019281,105.09328863133852
ID-202,5.067289190298165,0.16623953599837873,54.33011252338241,55.26415203641708
ID-203,16.415225184504216,0.18113509533363542,6.594347159772966,29.82886438827153
ID-204,15.387212025811218,0.2976640917636379,7.447660135314031,62.99500604842242
ID-205,24.98117681374237,0.24005984582852444,2.9628683766735797,123.46083843171104
ID-206,8.553993271855235,0.11132646040579412,21.910895796508267,27.357215379092146
ID-207,5.712977090597292,0.026972059510745678,44.38126385035283,14.606928509797507
ID-208,10.010137269552711,0.2536507115135135,16.498502559136735,70.883485939771
ID-209,18.201263652278612,0.2162895293663335,5.424633151845169,89.08567517054956
ID-210,3.5499788996890382,0.12947864239860846,96.60758603323065,98.03846614360418
ID-301,7.537695608828063,0.323358718866562,27.437760547557797,127.14767508063339
ID-302,8.039443041081816,0.15688463424816615,24.47634976280677,97.34967096181309
ID-303,5.260438827404952,0.10440492593375061,51.02939778357848,67.40898289052694
ID-304,14.203180295364717,0.2894629167168459,8.652888429522918,95.60192672016335
ID-305,4.129706879276974,0.09207608147165154,76.0054783717068,65.71229859992074
ID-306,4.966325528198962,0.20871450522821494,56.18444630987707,54.97677204126402
ID-307,5.107910526562874,0.13323802999125575,53.60985870219287,95.40899831472633
ID-308,2.8104447928596348,0.16117895987282108,137.74588957300773,183.4498743861713
ID-309,3.055757000843811,0.07410199704902933,121.58671994906409,102.94740534999293
ID-310,5.931166612324072,0.2547877690980016,41.63104557614598,98.05738201419699
ID-401,4.68304201446108,0.14423085050095072,61.925320374555824,51.23951853705215
ID-402,4.575437317094278,0.04482762080238001,64.33867616249783,28.194402888050696
ID-403,3.474883317112476,0.11366781525233752,99.87724735844589,91.34214505907698
ID-404,3.1240187906147203,0.07254503341313831,117.59496435570539,107.3941385466863
ID-405,2.5171297753763873,0.07370543938256609,161.67884915267194,103.55907466245628
ID-406,7.3186690532786605,0.24345382788427064,28.901627678406488,167.8655634085325
ID-407,3.7740625667339134,0.0765709348672277,87.75134522513225,40.57506916946839
ID-408,3.489485924754024,0.051091510750294084,99.22857784224671,47.49801053913594
ID-409,5.246927160709319,0.1470801332183068,51.25038255208965,103.3962062035302
