ID,Modelo Logístico,Modelo de Gompertz,Modelo Logístico Generalizado,Modelo de Gompertz Modificado
ID-201,95.24134692586544,121.94179148187683,105.09328863133852,121.94179148146692
ID-202,53.99777478457102,63.08952065714752,55.26415203641708,63.08952065698444
ID-203,27.802851105279835,35.95646343363018,29.82886438827153,35.95646343611285
ID-204,63.05228274927202,71.01820329006473,62.99500604842242,71.0182032901209
ID-205,110.14053765496358,139.73214067638486,123.46083843171104,139.73214066878177
ID-206,25.997830829263844,31.011095318979784,27.357215379092143,31.011095318157867
ID-207,14.55984023537389,14.71495906237902,14.606928509797507,14.714959062336202
ID-208,59.573882708396994,89.51760312309818,70.883485939771,89.5176031233524
ID-209,77.12628061451143,107.52612646827824,89.08567517054956,107.526126466949
ID-210,98.45900595031311,101.4174817011107,98.03846614360418,101.41748170130792
